fecha,año,mes,dia,hospitalizados_totales,hospitalizados_totales_cdmx,hospitalizados_totales_edomex,camas_intubados_totales,camas_intubados_cdmx,camas_intubados_edomex
2020-06-04,2020,junio,4,6370,4474,1896,1456,1064,392
2020-06-05,2020,junio,5,6423,4491,1932,1493,1097,396
2020-06-09,2020,junio,9,6373,4436,1937,1361,1017,344
2020-06-11,2020,junio,11,6333,4460,1873,1365,1027,338
2020-06-12,2020,junio,12,6323,4456,1867,1366,1020,346
2020-06-17,2020,junio,17,5985,4303,1682,1329,1015,314
2020-06-22,2020,junio,22,5566,3945,1621,1270,964,306
2020-06-26,2020,junio,26,5416,3845,1571,1234,927,307
2020-07-02,2020,julio,2,5120,3676,1444,1193,901,292
2020-07-05,2020,julio,5,5012,3602,1410,1213,884,329
2020-07-08,2020,julio,8,4906,3569,1337,1163,868,295
2020-07-09,2020,julio,9,4814,3476,1338,1149,847,302
2020-07-11,2020,julio,11,4783,3454,1329,1194,867,327
2020-07-12,2020,julio,12,4758,3422,1336,1163,845,318
